;Horas Presencia Efectiva Subcontratados;Horas Presencia Efectiva ETTs;Horas Formacion Seguridad Propios;Horas Formacion Seguridad ETTs;Accident;wk_position;Age;Severity;Accident_place;Gender_Hombre;T_Turno de mañana;T_Turno de noche;T_Turno de tarde;Age_Entre 30-50;Age_Mayor 50;Age_Menor 30;Tipo_trab_reduced;Acc_Duración Determinada;Acc_ETT;Acc_Indefinido;Acc_Otros
16;0.0;0.0;607.0;0.0;1;Inspector de Calidad;Menor 30;Muy grave;Mantenimiento;1;0;0;1;0;0;1;Otros;0;0;0;1
17;17051.0;211.0;757.0;0.0;1;empaquetador perfiladora de tubos;Mayor 50;Grave;Mantenimiento;1;1;0;0;0;1;0;Indefinido;0;0;1;0
18;25685.0;18303.0;1151.0;152.0;1;EMBALAJE MANUAL;Mayor 50;Muy grave;Mantenimiento;1;1;0;0;0;1;0;Indefinido;0;0;1;0
19;25685.0;18303.0;1151.0;152.0;1;Kranführer H1 Nord;Mayor 50;Leve;Mantenimiento;1;0;0;1;0;1;0;Otros;0;0;0;1
20;0.0;0.0;607.0;0.0;1;Staplerfahrer Halle 2 und 3;Mayor 50;Grave;Mantenimiento;1;1;0;0;0;1;0;Indefinido;0;0;1;0
21;0.0;0.0;607.0;0.0;1;Recibidor línea 3mts;Mayor 50;Muy grave;Mantenimiento;1;1;0;0;0;1;0;Indefinido;0;0;1;0
22;0.0;0.0;607.0;0.0;1;Auxiliar TRANS003;Entre 30-50;Leve;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
23;0.0;0.0;607.0;0.0;1;Perfiles abiertos;Mayor 50;Muy grave;Mantenimiento;1;1;0;0;0;1;0;Otros;0;0;0;1
24;0.0;0.0;607.0;0.0;1;Operario de Linea;Menor 30;Grave;Mantenimiento;1;1;0;0;0;0;1;Otros;0;0;0;1
25;0.0;0.0;607.0;0.0;1;Utillero;Entre 30-50;Leve;Mantenimiento;1;0;0;1;1;0;0;Otros;0;0;0;1
26;25249.0;42485.0;1419.0;829.0;1;Operario de mantenimiento;Menor 30;Grave;Mantenimiento;1;0;0;1;0;0;1;Indefinido;0;0;1;0
27;0.0;0.0;607.0;0.0;1;welding for polygon;Mayor 50;Grave;Mantenimiento;1;0;1;0;0;1;0;Indefinido;0;0;1;0
28;0.0;0.0;607.0;0.0;1;Operador II;Entre 30-50;Leve;Mantenimiento;1;1;0;0;1;0;0;Indefinido;0;0;1;0
29;0.0;0.0;607.0;0.0;1;LCP 03;Entre 30-50;Leve;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
30;0.0;0.0;0.0;0.0;1;Movimentação;Entre 30-50;Leve;Mantenimiento;1;1;0;0;1;0;0;Indefinido;0;0;1;0
31;25685.0;18303.0;1151.0;152.0;1;Material  Handler / Slitting Operator;Mayor 50;Muy grave;Mantenimiento;1;1;0;0;0;1;0;ETT;0;1;0;0
32;2836.0;2046.0;1212.0;0.0;1;OPERARIO DE CARGA;Entre 30-50;Muy grave;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
33;0.0;0.0;607.0;0.0;1;Almacenes;Entre 30-50;Muy grave;Mantenimiento;1;1;0;0;1;0;0;Indefinido;0;0;1;0
34;0.0;0.0;0.0;0.0;1;Auxiliar de Producción;Menor 30;Grave;Mantenimiento;1;1;0;0;0;0;1;Otros;0;0;0;1
35;25249.0;42485.0;1419.0;829.0;1;Mitarbeiter Qualitätsmanagement;Entre 30-50;Muy grave;Mantenimiento;1;1;0;0;1;0;0;ETT;0;1;0;0
36;0.0;0.0;0.0;0.0;1;Flejador/ ayudante TRANS007;Entre 30-50;Leve;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
37;2836.0;2046.0;1212.0;0.0;1;Maquinista Sierra de corte Adige1;Entre 30-50;Grave;Mantenimiento;1;0;1;0;1;0;0;ETT;0;1;0;0
38;25249.0;42485.0;1419.0;829.0;1;Embaladora Longi 6;Mayor 50;Muy grave;Mantenimiento;1;0;1;0;0;1;0;ETT;0;1;0;0
39;0.0;0.0;607.0;0.0;1;Empaquetador Tubos;Mayor 50;Grave;Mantenimiento;1;0;0;1;0;1;0;Otros;0;0;0;1
40;0.0;0.0;1500.0;0.0;1;Verpacker LONGI001;Entre 30-50;Leve;Mantenimiento;1;0;0;1;1;0;0;Indefinido;0;0;1;0
41;25685.0;18303.0;1151.0;152.0;1;Soldadura;Entre 30-50;Grave;Mantenimiento;1;1;0;0;1;0;0;Indefinido;0;0;1;0
42;0.0;0.0;0.0;0.0;1;Werkzeugmacher;Mayor 50;Leve;Mantenimiento;1;0;0;1;0;1;0;Indefinido;0;0;1;0
43;0.0;0.0;0.0;0.0;1;Operario de pantógrafo;Menor 30;Leve;Mantenimiento;1;0;0;1;0;0;1;Otros;0;0;0;1
44;0.0;0.0;0.0;0.0;1;Ayudante volteador;Mayor 50;Grave;Mantenimiento;1;1;0;0;0;1;0;Otros;0;0;0;1
45;0.0;0.0;0.0;0.0;1;Operario de puente grúa;Mayor 50;Muy grave;Mantenimiento;1;1;0;0;0;1;0;Otros;0;0;0;1
46;0.0;0.0;0.0;0.0;1;Operario de linea;Entre 30-50;Muy grave;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
47;25685.0;18303.0;1151.0;152.0;1;Embalador 1 (en capacitación);Menor 30;Muy grave;Mantenimiento;1;1;0;0;0;0;1;Indefinido;0;0;1;0
48;25685.0;18303.0;1151.0;152.0;1;Longi 2;Entre 30-50;Leve;Mantenimiento;1;0;1;0;1;0;0;Otros;0;0;0;1
49;25249.0;42485.0;1419.0;829.0;1;Staplerfahrer;Entre 30-50;Leve;Mantenimiento;1;0;0;1;1;0;0;ETT;0;1;0;0
50;0.0;0.0;0.0;0.0;1;Ayudante CIZAL008;Entre 30-50;Muy grave;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
51;25685.0;18303.0;1151.0;152.0;1;CARRETILLA;Entre 30-50;Muy grave;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
52;0.0;0.0;0.0;0.0;1;Titular de Linea;Mayor 50;Grave;Mantenimiento;1;0;1;0;0;1;0;Otros;0;0;0;1
53;0.0;0.0;0.0;0.0;1;Operador de Har lan;Menor 30;Leve;Mantenimiento;1;0;0;1;0;0;1;Otros;0;0;0;1
54;25685.0;18303.0;1151.0;152.0;1;Saumschrott durchtrennen;Entre 30-50;Grave;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
55;25685.0;18303.0;1151.0;152.0;1;Kranführer Halle 3;Menor 30;Leve;Mantenimiento;1;1;0;0;0;0;1;Otros;0;0;0;1
56;25685.0;18303.0;1151.0;152.0;1;Flejador LONGI001;Mayor 50;Leve;Mantenimiento;1;1;0;0;0;1;0;Otros;0;0;0;1
57;0.0;0.0;0.0;0.0;1;OPERADOR PUENTE GRUA;Entre 30-50;Muy grave;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
58;0.0;0.0;0.0;0.0;1;Chofer camión;Entre 30-50;Muy grave;Mantenimiento;1;1;0;0;1;0;0;ETT;0;1;0;0
59;0.0;0.0;0.0;0.0;1;alimentador;Entre 30-50;Muy grave;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
60;0.0;0.0;0.0;0.0;1;Oxgyen cutting;Menor 30;Muy grave;Mantenimiento;1;1;0;0;0;0;1;Indefinido;0;0;1;0
61;25249.0;42485.0;1419.0;829.0;1;MF2 LONGI001;Menor 30;Leve;Mantenimiento;1;0;1;0;0;0;1;Indefinido;0;0;1;0
62;25249.0;42485.0;1419.0;829.0;1;Transporte de material acabado;Mayor 50;Muy grave;Mantenimiento;1;0;0;1;0;1;0;Indefinido;0;0;1;0
63;25249.0;42485.0;1419.0;829.0;1;Presseneinrichter;Menor 30;Leve;Mantenimiento;1;1;0;0;0;0;1;Indefinido;0;0;1;0
64;25249.0;42485.0;1419.0;829.0;1;forklift external maintance;Menor 30;Grave;Mantenimiento;1;0;1;0;0;0;1;Indefinido;0;0;1;0
65;25249.0;42485.0;1419.0;829.0;1;Maschinenführer 1, Presse 2;Entre 30-50;Leve;Mantenimiento;1;0;0;1;1;0;0;Indefinido;0;0;1;0
66;25249.0;42485.0;1419.0;829.0;1;Longi 1;Mayor 50;Grave;Mantenimiento;1;0;1;0;0;1;0;ETT;0;1;0;0
67;25249.0;42485.0;1419.0;829.0;1;Titular de línea y auxiliar (Prensa Rovetta);Menor 30;Leve;Mantenimiento;1;0;0;1;0;0;1;Indefinido;0;0;1;0
68;25249.0;42485.0;1419.0;829.0;1;Automatenbefüller;Mayor 50;Leve;Mantenimiento;1;1;0;0;0;1;0;Indefinido;0;0;1;0
69;25249.0;42485.0;1419.0;829.0;1;Carretillero/Gruista;Menor 30;Grave;Mantenimiento;1;0;0;1;0;0;1;ETT;0;1;0;0
70;25249.0;42485.0;1419.0;829.0;1;Operating the crane;Mayor 50;Muy grave;Mantenimiento;1;0;0;1;0;1;0;ETT;0;1;0;0
71;25249.0;42485.0;1419.0;829.0;1;Press Operator/Crane;Entre 30-50;Muy grave;Mantenimiento;1;1;0;0;1;0;0;ETT;0;1;0;0
72;25249.0;42485.0;1419.0;829.0;1;Maquinista longitudinales;Mayor 50;Grave;Mantenimiento;1;1;0;0;0;1;0;Indefinido;0;0;1;0
73;25249.0;42485.0;1419.0;829.0;1;packaking -road safety;Entre 30-50;Grave;Mantenimiento;1;1;0;0;1;0;0;Indefinido;0;0;1;0
74;25249.0;42485.0;1419.0;829.0;1;Gruista entrada;Mayor 50;Leve;Mantenimiento;1;0;1;0;0;1;0;ETT;0;1;0;0
75;25249.0;42485.0;1419.0;829.0;1;Mitarbeiter Qualitätsmanagement;Menor 30;Muy grave;Mantenimiento;1;0;0;1;0;0;1;ETT;0;1;0;0
76;25249.0;42485.0;1419.0;829.0;1;sierra de madera;Entre 30-50;Grave;Mantenimiento;1;1;0;0;1;0;0;ETT;0;1;0;0
77;25249.0;42485.0;1419.0;829.0;1;Gruista carga nave 6A;Menor 30;Leve;Mantenimiento;1;0;0;1;0;0;1;Indefinido;0;0;1;0
78;25249.0;42485.0;1419.0;829.0;1;Maschinenführerin 2 Presse 3;Entre 30-50;Grave;Mantenimiento;1;1;0;0;1;0;0;Indefinido;0;0;1;0
79;25249.0;42485.0;1419.0;829.0;1;Tool & Die tech from Gestamp working onsite at Gonvauto;Menor 30;Muy grave;Mantenimiento;1;0;1;0;0;0;1;ETT;0;1;0;0
80;25249.0;42485.0;1419.0;829.0;1;Mitarbeiter Qualitätsmanagement;Entre 30-50;Leve;Mantenimiento;1;0;0;1;1;0;0;ETT;0;1;0;0
81;25249.0;42485.0;1419.0;829.0;1;customer;Entre 30-50;Grave;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
82;25249.0;42485.0;1419.0;829.0;1;CARRETILLERO PRENS004;Menor 30;Leve;Mantenimiento;1;1;0;0;0;0;1;Indefinido;0;0;1;0
83;25249.0;42485.0;1419.0;829.0;1;Jefe de gestión de Mantenimiento;Mayor 50;Grave;Mantenimiento;1;1;0;0;0;1;0;Indefinido;0;0;1;0
84;25249.0;42485.0;1419.0;829.0;1;Gruista ácido;Entre 30-50;Leve;Mantenimiento;1;0;1;0;1;0;0;Duración Determinada;1;0;0;0
85;25249.0;42485.0;1419.0;829.0;1;Ninguno de los implicados desempeñaban funciones habituales en la línea donde se produjo el incidente.;Entre 30-50;Muy grave;Mantenimiento;1;0;1;0;1;0;0;ETT;0;1;0;0
86;25249.0;42485.0;1419.0;829.0;1;Toolmaker;Entre 30-50;Grave;Mantenimiento;1;1;0;0;1;0;0;ETT;0;1;0;0
87;25249.0;42485.0;1419.0;829.0;1;Loading team leader;Menor 30;Muy grave;Mantenimiento;1;1;0;0;0;0;1;Otros;0;0;0;1
88;25249.0;42485.0;1419.0;829.0;1;Anlagenführer Laser 5;Entre 30-50;Leve;Mantenimiento;1;1;0;0;1;0;0;Indefinido;0;0;1;0
89;25249.0;42485.0;1419.0;829.0;1;EMBAL015;Mayor 50;Leve;Mantenimiento;1;1;0;0;0;1;0;Indefinido;0;0;1;0
90;25249.0;42485.0;1419.0;829.0;1;OPERARIO DE CARGA;Entre 30-50;Leve;Mantenimiento;1;0;0;1;1;0;0;ETT;0;1;0;0
91;25685.0;18303.0;1151.0;152.0;1;toolmaker;Mayor 50;Grave;Mantenimiento;1;0;1;0;0;1;0;ETT;0;1;0;0
92;2836.0;2046.0;1212.0;0.0;1;Operador Logistico I;Menor 30;Grave;Mantenimiento;1;0;0;1;0;0;1;Indefinido;0;0;1;0
93;25249.0;42485.0;1419.0;829.0;1;Supervisor Logistik;Mayor 50;Muy grave;Mantenimiento;1;0;1;0;0;1;0;Indefinido;0;0;1;0
94;17051.0;211.0;757.0;0.0;1;Auxiliar/Montador;Entre 30-50;Muy grave;Mantenimiento;1;1;0;0;1;0;0;Indefinido;0;0;1;0
95;2836.0;2046.0;1212.0;0.0;1;Pontonero y maquinista TRANS006;Menor 30;Muy grave;Mantenimiento;1;0;0;1;0;0;1;ETT;0;1;0;0
96;0.0;0.0;0.0;0.0;1;operatorof Press;Entre 30-50;Muy grave;Mantenimiento;1;1;0;0;1;0;0;Indefinido;0;0;1;0
97;17051.0;211.0;757.0;0.0;1;OPERADOR PUENTE GRUA;Menor 30;Muy grave;Mantenimiento;1;1;0;0;0;0;1;Otros;0;0;0;1
98;0.0;0.0;607.0;0.0;1;material carrying-plasma;Mayor 50;Leve;Mantenimiento;1;0;1;0;0;1;0;Otros;0;0;0;1
99;25249.0;42485.0;1419.0;829.0;1;Maquinista plasma;Menor 30;Leve;Mantenimiento;1;0;1;0;0;0;1;Otros;0;0;0;1
100;25685.0;18303.0;1151.0;152.0;1;Maquinista Trans 003;Mayor 50;Leve;Mantenimiento;1;0;0;1;0;1;0;Indefinido;0;0;1;0
101;25685.0;18303.0;1151.0;152.0;1;Gruista de caldera y limpieza de caldera;Entre 30-50;Grave;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
102;25685.0;18303.0;1151.0;152.0;1;Kranführer Halle 0;Mayor 50;Leve;Mantenimiento;1;1;0;0;0;1;0;Otros;0;0;0;1
103;25685.0;18303.0;1151.0;152.0;1;Working on Press;Mayor 50;Muy grave;Mantenimiento;1;0;0;1;0;1;0;Otros;0;0;0;1
104;25249.0;42485.0;1419.0;829.0;1;AUXILIAR DE LINEA;Entre 30-50;Leve;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
105;25249.0;42485.0;1419.0;829.0;1;road safety;Entre 30-50;Muy grave;Mantenimiento;1;0;1;0;1;0;0;Otros;0;0;0;1
106;25249.0;42485.0;1419.0;829.0;1;Caretilla;Entre 30-50;Muy grave;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
107;25685.0;18303.0;1151.0;152.0;1;Almacenes;Entre 30-50;Grave;Mantenimiento;1;0;0;1;1;0;0;Otros;0;0;0;1
108;25249.0;42485.0;1419.0;829.0;1;Si. Jefe cortadora Mair.;Entre 30-50;Grave;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
109;25249.0;42485.0;1419.0;829.0;1;Cizal - Guilhotina;Mayor 50;Muy grave;Mantenimiento;1;1;0;0;0;1;0;Otros;0;0;0;1
110;25249.0;42485.0;1419.0;829.0;1;AUXILIAR DE LINEA;Entre 30-50;Grave;Mantenimiento;1;0;1;0;1;0;0;Otros;0;0;0;1
111;25249.0;42485.0;1419.0;829.0;1;Team Leader;Mayor 50;Muy grave;Mantenimiento;1;1;0;0;0;1;0;Duración Determinada;1;0;0;0
112;2836.0;2046.0;1212.0;0.0;1;responsible for the shift;Mayor 50;Leve;Mantenimiento;0;0;1;0;0;1;0;Indefinido;0;0;1;0
113;2836.0;2046.0;1212.0;0.0;1;Cargador descargador;Entre 30-50;Leve;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
114;2836.0;2046.0;1212.0;0.0;1;CARPINTERO TRANS002;Mayor 50;Grave;Mantenimiento;1;1;0;0;0;1;0;ETT;0;1;0;0
115;2836.0;2046.0;1212.0;0.0;1;Gruista tubos;Entre 30-50;Grave;Mantenimiento;1;0;1;0;1;0;0;Indefinido;0;0;1;0
116;2836.0;2046.0;1212.0;0.0;1;Auxiliar/Montador;Mayor 50;Grave;Mantenimiento;1;1;0;0;0;1;0;Otros;0;0;0;1
117;2836.0;2046.0;1212.0;0.0;1;Working on Press;Entre 30-50;Grave;Mantenimiento;1;0;0;1;1;0;0;ETT;0;1;0;0
118;2836.0;2046.0;1212.0;0.0;1;Carrying metarial by forklift;Mayor 50;Muy grave;Mantenimiento;1;0;0;1;0;1;0;Otros;0;0;0;1
119;2836.0;2046.0;1212.0;0.0;1;Gruista de entrada;Mayor 50;Muy grave;Mantenimiento;1;1;0;0;0;1;0;Otros;0;0;0;1
120;2836.0;2046.0;1212.0;0.0;1;Operario de pantógrafo;Mayor 50;Leve;Mantenimiento;1;1;0;0;0;1;0;Otros;0;0;0;1
121;2836.0;2046.0;1212.0;0.0;1;Utillero;Entre 30-50;Grave;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
122;25249.0;42485.0;1419.0;829.0;1;Operator on Evtek blanking line;Mayor 50;Leve;Mantenimiento;1;1;0;0;0;1;0;Otros;0;0;0;1
123;25249.0;42485.0;1419.0;829.0;1;Descargador;Mayor 50;Muy grave;Mantenimiento;1;1;0;0;0;1;0;Otros;0;0;0;1
124;25249.0;42485.0;1419.0;829.0;1;flejador;Entre 30-50;Leve;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
125;25249.0;42485.0;1419.0;829.0;1;Maschinenführer 1, Presse 3;Entre 30-50;Grave;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
126;25249.0;42485.0;1419.0;829.0;1;Empaquetador perfiladoras;Menor 30;Leve;Mantenimiento;1;1;0;0;0;0;1;Otros;0;0;0;1
127;0.0;0.0;607.0;0.0;1;Maschinenführer 2 Presse 5;Entre 30-50;Leve;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
128;0.0;0.0;607.0;0.0;1;línea de corte;Mayor 50;Grave;Mantenimiento;1;0;0;1;0;1;0;Otros;0;0;0;1
129;25249.0;42485.0;1419.0;829.0;1;galvanized-hanging-handling;Entre 30-50;Grave;Mantenimiento;1;0;0;1;1;0;0;Indefinido;0;0;1;0
130;0.0;0.0;607.0;0.0;1;flejador;Entre 30-50;Grave;Mantenimiento;1;0;0;1;1;0;0;Indefinido;0;0;1;0
131;25249.0;42485.0;1419.0;829.0;1;Auxiliar logística;Entre 30-50;Muy grave;Mantenimiento;1;0;1;0;1;0;0;Otros;0;0;0;1
132;25249.0;42485.0;1419.0;829.0;1;shift manager;Menor 30;Leve;Mantenimiento;1;1;0;0;0;0;1;Duración Determinada;1;0;0;0
133;25249.0;42485.0;1419.0;829.0;1;Empaquetador en formación;Entre 30-50;Muy grave;Mantenimiento;1;1;0;0;1;0;0;Indefinido;0;0;1;0
134;25685.0;18303.0;1151.0;152.0;1;Maschinenführer Presse 4/6;Entre 30-50;Muy grave;Mantenimiento;1;1;0;0;1;0;0;Indefinido;0;0;1;0
135;25249.0;42485.0;1419.0;829.0;1;Gruista entrada;Entre 30-50;Muy grave;Mantenimiento;1;1;0;0;1;0;0;Indefinido;0;0;1;0
136;0.0;0.0;0.0;0.0;1;Cargador descargador;Entre 30-50;Grave;Mantenimiento;1;0;0;1;1;0;0;Duración Determinada;1;0;0;0
137;0.0;0.0;0.0;0.0;1;Operario Salida Decapado;Mayor 50;Grave;Mantenimiento;1;1;0;0;0;1;0;Indefinido;0;0;1;0
138;0.0;0.0;607.0;0.0;1;customer;Mayor 50;Leve;Mantenimiento;1;0;0;1;0;1;0;Otros;0;0;0;1
139;0.0;0.0;607.0;0.0;1;team leader;Entre 30-50;Leve;Mantenimiento;1;0;0;1;1;0;0;Otros;0;0;0;1
140;0.0;0.0;607.0;0.0;1;Longi 2;Mayor 50;Muy grave;Mantenimiento;1;0;0;1;0;1;0;Otros;0;0;0;1
141;0.0;0.0;607.0;0.0;1;Gruista tubos;Entre 30-50;Grave;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
142;25249.0;42485.0;1419.0;829.0;1;OPERARIO DE CARGA;Entre 30-50;Grave;Mantenimiento;1;0;0;1;1;0;0;Otros;0;0;0;1
143;25685.0;18303.0;1151.0;152.0;1;Supervisor Mantenimiento;Mayor 50;Leve;Mantenimiento;1;1;0;0;0;1;0;Indefinido;0;0;1;0
144;0.0;0.0;607.0;0.0;1;GRUISTA DE ENTRADA EN TUBOS;Mayor 50;Muy grave;Mantenimiento;1;1;0;0;0;1;0;Duración Determinada;1;0;0;0
145;0.0;0.0;607.0;0.0;1;assembler of circular knives;Mayor 50;Muy grave;Mantenimiento;1;1;0;0;0;1;0;ETT;0;1;0;0
146;0.0;0.0;607.0;0.0;1;BOBINERO;Menor 30;Muy grave;Mantenimiento;1;0;0;1;0;0;1;Otros;0;0;0;1
147;0.0;0.0;607.0;0.0;1;Alimentador Perfiladora Tubos 601;Mayor 50;Leve;Mantenimiento;1;1;0;0;0;1;0;Otros;0;0;0;1
148;25249.0;42485.0;1419.0;829.0;1;Maquinista linea de corte longitudinal;Mayor 50;Grave;Mantenimiento;1;1;0;0;0;1;0;Indefinido;0;0;1;0
149;0.0;0.0;607.0;0.0;1;CIZALLA;Mayor 50;Grave;Mantenimiento;1;0;0;1;0;1;0;ETT;0;1;0;0
150;25685.0;18303.0;1151.0;152.0;1;Recibidor línea 3mts;Menor 30;Leve;Mantenimiento;1;0;0;1;0;0;1;Otros;0;0;0;1
151;2836.0;2046.0;1212.0;0.0;1;empaquetador;Mayor 50;Muy grave;Mantenimiento;1;0;0;1;0;1;0;Otros;0;0;0;1
152;25685.0;18303.0;1151.0;152.0;1;Forkift driver;Menor 30;Leve;Mantenimiento;1;1;0;0;0;0;1;Otros;0;0;0;1
153;25685.0;18303.0;1151.0;152.0;1;carretilla;Entre 30-50;Muy grave;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
154;0.0;0.0;607.0;0.0;1;Empaquetador en formación;Menor 30;Grave;Mantenimiento;1;0;0;1;0;0;1;Indefinido;0;0;1;0
155;17051.0;211.0;757.0;0.0;1;Flejador Línea Corte Prensa I;Mayor 50;Muy grave;Mantenimiento;0;1;0;0;0;1;0;Indefinido;0;0;1;0
156;0.0;0.0;0.0;0.0;1;Titular y ayudantes de Perfiladora de Dimeco Perfi012;Mayor 50;Grave;Mantenimiento;1;0;0;1;0;1;0;Indefinido;0;0;1;0
157;25249.0;42485.0;1419.0;829.0;1;Operador Puente-Grúa;Entre 30-50;Leve;Mantenimiento;1;0;0;1;1;0;0;Duración Determinada;1;0;0;0
158;0.0;0.0;607.0;0.0;1;gruista/ maquinista plasma;Entre 30-50;Muy grave;Mantenimiento;1;1;0;0;1;0;0;Indefinido;0;0;1;0
159;25249.0;42485.0;1419.0;829.0;1;Cargador;Menor 30;Leve;Mantenimiento;1;1;0;0;0;0;1;Indefinido;0;0;1;0
160;25249.0;42485.0;1419.0;829.0;1;Gruista de salida galvanizado;Mayor 50;Grave;Mantenimiento;1;1;0;0;0;1;0;Otros;0;0;0;1
161;25249.0;42485.0;1419.0;829.0;1;Operario procesos;Entre 30-50;Grave;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
162;25685.0;18303.0;1151.0;152.0;1;bobinero;Mayor 50;Leve;Mantenimiento;1;0;0;1;0;1;0;Otros;0;0;0;1
163;25685.0;18303.0;1151.0;152.0;1;OPERARIO;Mayor 50;Muy grave;Mantenimiento;1;0;1;0;0;1;0;ETT;0;1;0;0
164;25249.0;42485.0;1419.0;829.0;1;Galvanizado;Mayor 50;Leve;Mantenimiento;1;1;0;0;0;1;0;Otros;0;0;0;1
165;25249.0;42485.0;1419.0;829.0;1;Si. Operario Rattunde en Formacion;Mayor 50;Muy grave;Mantenimiento;1;0;0;1;0;1;0;Otros;0;0;0;1
166;0.0;0.0;607.0;0.0;1;wrapping and packing bundles of steel ;Menor 30;Muy grave;Mantenimiento;1;1;0;0;0;0;1;Indefinido;0;0;1;0
167;25249.0;42485.0;1419.0;829.0;1;Cargue de material;Entre 30-50;Muy grave;Mantenimiento;1;1;0;0;1;0;0;Indefinido;0;0;1;0
168;2836.0;2046.0;1212.0;0.0;1;Kranführer H1 Nord;Mayor 50;Muy grave;Mantenimiento;1;0;0;1;0;1;0;Otros;0;0;0;1
169;2836.0;2046.0;1212.0;0.0;1;ENH CNC OPERATOR;Menor 30;Muy grave;Mantenimiento;1;0;0;1;0;0;1;Otros;0;0;0;1
