;Codigo accidentado;Turno;Gender;Planta;Tipo accidente;Tipo trabajador;Fabrica;Tecnología;Pais;Horas Presencia Efectiva Subcontratados;Horas Presencia Efectiva ETTs;Horas Formacion Seguridad Propios;Horas Formacion Seguridad ETTs;Accident;wk_position;Age;Severity;Accident_place
47;HS-SAUS_3293;Turno de mañana;Hombre;7;Incidente;Indefinido;Barcelona;Cizalla;España;25684.5;18302.3;1150.6;151.5;Yes;Empaquetador Tubos;Menor 30;Muy grave;Mantenimiento
48;HS-SAUS_3294;Turno de noche;Hombre;7;Incidente;Incidente (no aplica);Barcelona;Cizalla;España;25684.5;18302.3;1150.6;151.5;Yes;supplier;Entre 30-50;Leve;Mantenimiento
49;HS-HIAS_3298;Turno de tarde;Hombre;15;Accidente s/b;ETT;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Operador Logístico I;Entre 30-50;Leve;Mantenimiento
50;HS-DNGG_3301;Turno de mañana;Hombre;41;Incidente;Incidente (no aplica);Hiasa;Corte Láser;España;0.0;167848.0;1300.5;101.5;Yes;Ayudante LONGI008;Entre 30-50;Muy grave;Mantenimiento
51;HS-SAUS_3303;Turno de mañana;Hombre;7;Incidente;Incidente (no aplica);Barcelona;Cizalla;España;25684.5;18302.3;1150.6;151.5;Yes;Fahrer Räumfahrzeug;Entre 30-50;Muy grave;Mantenimiento
52;HS-SABS_3304;Turno de noche;Hombre;53;Incidente;Incidente (no aplica);Hiasa;Prensa;España;0.0;167848.0;1300.5;101.5;Yes;EMBALAJE MANUAL;Mayor 50;Grave;Mantenimiento
53;HS-SANA_3305;Turno de tarde;Hombre;54;Incidente;Incidente (no aplica);Hiasa;Punzonado;España;0.0;167848.0;1300.5;101.5;Yes;Verpacker Halle 4;Menor 30;Leve;Mantenimiento
54;HS-SAUS_3307;Turno de mañana;Hombre;7;Incidente;Incidente (no aplica);Barcelona;Cizalla;España;25684.5;18302.3;1150.6;151.5;Yes;EMBALADORA LONGI 6;Entre 30-50;Grave;Mantenimiento
55;HS-SAUS_3308;Turno de mañana;Hombre;7;Incidente;Incidente (no aplica);Barcelona;Cizalla;España;25684.5;18302.3;1150.6;151.5;Yes;Titular Corte Termico;Menor 30;Leve;Mantenimiento
56;HS-SAUS_3309;Turno de mañana;Hombre;7;Incidente;Incidente (no aplica);Barcelona;Cizalla;España;25684.5;18302.3;1150.6;151.5;Yes;Sierra Behringer;Mayor 50;Leve;Mantenimiento
57;HS-TRRG_3310;Turno de mañana;Hombre;4;Incidente;Incidente (no aplica);Arizona;Células Soldadura;EEUU;0.0;0.0;0.0;0.0;Yes;Kranführer Halle 1 Süd;Entre 30-50;Muy grave;Mantenimiento
58;HS-TRRG_4238;Turno de mañana;Hombre;4;Accidente s/b;ETT;Arizona;Células Soldadura;EEUU;0.0;0.0;0.0;0.0;Yes;LCP 02;Entre 30-50;Muy grave;Mantenimiento
59;HS-TRRG_4239;Turno de mañana;Hombre;4;Incidente;Incidente (no aplica);Arizona;Células Soldadura;EEUU;0.0;0.0;0.0;0.0;Yes;DECAPADO;Entre 30-50;Muy grave;Mantenimiento
60;HS-TRRG_4240;Turno de mañana;Hombre;4;Incidente;Indefinido;Arizona;Células Soldadura;EEUU;0.0;0.0;0.0;0.0;Yes;No hay personas implicadas;Menor 30;Muy grave;Mantenimiento
61;HS-HIAS_4929;Turno de noche;Hombre;15;Incidente;Indefinido;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Operador de Har lan;Menor 30;Leve;Mantenimiento
62;HS-HIAS_4945;Turno de tarde;Hombre;15;Incidente;Indefinido;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Longi 2;Mayor 50;Muy grave;Mantenimiento
63;HS-HIAS_4946;Turno de mañana;Hombre;15;Incidente;Indefinido;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Maschinenführer 1 Presse;Menor 30;Leve;Mantenimiento
64;HS-HIAS_4949;Turno de noche;Hombre;15;Accidente s/b;Indefinido;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Auxiliar/Montador;Menor 30;Grave;Mantenimiento
65;HS-HIAS_4970;Turno de tarde;Hombre;15;Incidente;Indefinido;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Ayudante LONGI008;Entre 30-50;Leve;Mantenimiento
66;HS-HIAS_4989;Turno de noche;Hombre;15;Incidente;ETT;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;CHATARRERO;Mayor 50;Grave;Mantenimiento
67;HS-HIAS_5047;Turno de tarde;Hombre;15;Incidente;Indefinido;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;MF1 LONGI001;Menor 30;Leve;Mantenimiento
68;HS-HIAS_5095;Turno de mañana;Hombre;15;Incidente;Indefinido;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;BOBINERO;Mayor 50;Leve;Mantenimiento
69;HS-HIAS_5151;Turno de tarde;Hombre;15;Accidente s/b;ETT;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Carretillero de la Empresa Pardo Freijo;Menor 30;Grave;Mantenimiento
70;HS-HIAS_5155;Turno de tarde;Hombre;15;Incidente;ETT;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Puente Grua Galvanizado;Mayor 50;Muy grave;Mantenimiento
71;HS-STUR_5171;Turno de mañana;Hombre;16;Accidente s/b;ETT;Burgos;Corte Transversal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;alimentador p5;Entre 30-50;Muy grave;Mantenimiento
72;HS-HIAS_5177;Turno de mañana;Hombre;15;Incidente;Indefinido;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Operating the crane;Mayor 50;Grave;Mantenimiento
73;HS-HIAS_5178;Turno de mañana;Hombre;15;Incidente;Indefinido;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;EMBALADORA LONGI 6;Entre 30-50;Grave;Mantenimiento
74;HS-STUR_5179;Turno de noche;Hombre;16;Accidente s/b;ETT;Burgos;Corte Transversal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Montacarguista (en entrenamiento);Mayor 50;Leve;Mantenimiento
75;HS-STUR_5184;Turno de tarde;Hombre;16;Incidente;ETT;Burgos;Corte Transversal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Material handler;Menor 30;Muy grave;Mantenimiento
76;HS-STUR_5185;Turno de mañana;Hombre;16;Accidente s/b;ETT;Burgos;Corte Transversal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;roll form machine;Entre 30-50;Grave;Mantenimiento
77;HS-HIAS_5189;Turno de tarde;Hombre;15;Incidente;Indefinido;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Maschinenbedienerin;Menor 30;Leve;Mantenimiento
78;HS-HIAS_5194;Turno de mañana;Hombre;15;Accidente s/b;Indefinido;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Instandhalter;Entre 30-50;Grave;Mantenimiento
79;HS-HIAS_5568;Turno de noche;Hombre;15;Accidente s/b;ETT;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;GRUISTA PTA07 PTA08;Menor 30;Muy grave;Mantenimiento
80;HS-HIAS_5569;Turno de tarde;Hombre;15;Incidente;ETT;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Movimiento de carretilla elevadora;Entre 30-50;Leve;Mantenimiento
81;HS-HIAS_5570;Turno de mañana;Hombre;15;Incidente;Incidente (no aplica);Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;maquinista / gruista;Entre 30-50;Grave;Mantenimiento
82;HS-HIAS_5571;Turno de mañana;Hombre;15;Incidente;Indefinido;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;CARRETILLERO PRENS004;Menor 30;Leve;Mantenimiento
83;HS-HIAS_5572;Turno de mañana;Hombre;15;Incidente;Indefinido;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Montador LC4;Mayor 50;Grave;Mantenimiento
84;HS-HIAS_5573;Turno de noche;Hombre;15;Accidente s/b;Duración Determinada;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Supervisor Logistik;Entre 30-50;Leve;Mantenimiento
85;HS-HIAS_5574;Turno de noche;Hombre;15;Accidente s/b;ETT;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Carrtillero;Entre 30-50;Muy grave;Mantenimiento
86;HS-HIAS_5575;Turno de mañana;Hombre;15;Accidente s/b;ETT;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Sierra corte metal;Entre 30-50;Grave;Mantenimiento
87;HS-HIAS_5576;Turno de mañana;Hombre;15;Incidente;Subcontratado;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;DESCARGAS;Menor 30;Muy grave;Mantenimiento
88;HS-HIAS_5577;Turno de mañana;Hombre;15;Incidente;Indefinido;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;MAQUINISTA TRANS 2;Entre 30-50;Leve;Mantenimiento
89;HS-HIAS_5578;Turno de mañana;Hombre;15;Incidente;Indefinido;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Shift Manager;Mayor 50;Leve;Mantenimiento
90;HS-HIAS_5579;Turno de tarde;Hombre;15;Incidente;ETT;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Gruista/soldador;Entre 30-50;Leve;Mantenimiento
91;HS-GNVT_5607;Turno de noche;Hombre;12;Incidente;ETT;Barcelona;Skinpass;España;25684.5;18302.3;1150.6;151.5;Yes;Operador Decapado;Mayor 50;Grave;Mantenimiento
92;HS-THRN_5611;Turno de tarde;Hombre;25;Incidente;Indefinido;Campinas;Prensa;Brasil;2835.52;2046.18;1212.5;0.0;Yes;Gruista Almacenes;Menor 30;Grave;Mantenimiento
93;HS-HIAS_5613;Turno de noche;Hombre;15;Incidente;Indefinido;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;EMBAL015;Mayor 50;Muy grave;Mantenimiento
94;HS-KLGA_5614;Turno de mañana;Hombre;28;Incidente;Indefinido;Galicia;Blanking;España;17051.0;211.0;756.3;0.4;Yes;Montador;Entre 30-50;Muy grave;Mantenimiento
95;HS-THRN_5615;Turno de tarde;Hombre;25;Accidente s/b;ETT;Campinas;Prensa;Brasil;2835.52;2046.18;1212.5;0.0;Yes;No, su puesto habitual es entrada decapado;Menor 30;Muy grave;Mantenimiento
96;HS-TRRG_5616;Turno de mañana;Hombre;4;Incidente;Indefinido;Arizona;Células Soldadura;EEUU;0.0;0.0;0.0;0.0;Yes;TRANS005;Entre 30-50;Muy grave;Mantenimiento
97;HS-KLGA_5617;Turno de mañana;Hombre;28;Incidente;Subcontratado;Galicia;Blanking;España;17051.0;211.0;756.3;0.4;Yes;Titular de Linea;Menor 30;Muy grave;Mantenimiento
98;HS-BRCL_5618;Turno de noche;Hombre;1;Incidente;Incidente (no aplica);Argentina;Blanking;Argentina;0.0;0.0;606.5;0.0;Yes;TITULAR LÍNEA CORTE PRENSA I;Mayor 50;Leve;Mantenimiento
99;HS-HIAS_5619;Turno de noche;Hombre;15;Incidente;Incidente (no aplica);Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Carretillero de la Empresa Pardo Freijo;Menor 30;Leve;Mantenimiento
100;HS-GNVT_5622;Turno de tarde;Hombre;12;Accidente s/b;Indefinido;Barcelona;Skinpass;España;25684.5;18302.3;1150.6;151.5;Yes;Gruista nave 6b zona negro;Mayor 50;Leve;Mantenimiento
101;HS-GNVT_5623;Turno de mañana;Hombre;12;Incidente;Incidente (no aplica);Barcelona;Skinpass;España;25684.5;18302.3;1150.6;151.5;Yes;forklift external maintance;Entre 30-50;Grave;Mantenimiento
102;HS-GNVT_5624;Turno de mañana;Hombre;12;Incidente;Incidente (no aplica);Barcelona;Skinpass;España;25684.5;18302.3;1150.6;151.5;Yes;Maquinista LONGI009;Mayor 50;Leve;Mantenimiento
103;HS-GNVT_5625;Turno de tarde;Hombre;12;Incidente;Incidente (no aplica);Barcelona;Skinpass;España;25684.5;18302.3;1150.6;151.5;Yes;Forklift Driver;Mayor 50;Muy grave;Mantenimiento
104;HS-STUR_5626;Turno de mañana;Hombre;16;Incidente;Incidente (no aplica);Burgos;Corte Transversal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;plegadora;Entre 30-50;Leve;Mantenimiento
105;HS-STUR_5627;Turno de noche;Hombre;16;Incidente;Incidente (no aplica);Burgos;Corte Transversal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Gruista/cargador;Entre 30-50;Muy grave;Mantenimiento
106;HS-HIAS_5628;Turno de mañana;Hombre;15;Incidente;Incidente (no aplica);Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Supervisor Mantenimiento;Entre 30-50;Muy grave;Mantenimiento
107;HS-GNVT_5629;Turno de tarde;Hombre;12;Incidente;Incidente (no aplica);Barcelona;Skinpass;España;25684.5;18302.3;1150.6;151.5;Yes;Cargador zona de negro;Entre 30-50;Grave;Mantenimiento
108;HS-STUR_5630;Turno de mañana;Hombre;16;Incidente;Incidente (no aplica);Burgos;Corte Transversal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Maschinenführer Presse 4/6;Entre 30-50;Grave;Mantenimiento
109;HS-HIAS_5631;Turno de mañana;Hombre;15;Incidente;Incidente (no aplica);Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Prozessoptimierer;Mayor 50;Muy grave;Mantenimiento
110;HS-HIAS_5632;Turno de noche;Hombre;15;Incidente;Incidente (no aplica);Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Salida de la carretilla de descarga y flejado del material;Entre 30-50;Grave;Mantenimiento
111;HS-HIAS_5634;Turno de mañana;Hombre;15;Accidente s/b;Duración Determinada;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;MF1 Presse 1;Mayor 50;Muy grave;Mantenimiento
112;HS-THRN_5635;Turno de noche;Mujer;25;Accidente s/b;Indefinido;Campinas;Prensa;Brasil;2835.52;2046.18;1212.5;0.0;Yes;galvanizado;Mayor 50;Leve;Mantenimiento
113;HS-THRN_5636;Turno de mañana;Hombre;25;Incidente;Incidente (no aplica);Campinas;Prensa;Brasil;2835.52;2046.18;1212.5;0.0;Yes;Auxiliar logística;Entre 30-50;Leve;Mantenimiento
114;HS-THRN_5638;Turno de mañana;Hombre;25;Accidente c/b;ETT;Campinas;Prensa;Brasil;2835.52;2046.18;1212.5;0.0;Yes;Carretillero galvanizado;Mayor 50;Grave;Mantenimiento
115;HS-THRN_5639;Turno de noche;Hombre;25;Accidente s/b;Indefinido;Campinas;Prensa;Brasil;2835.52;2046.18;1212.5;0.0;Yes;Carrying metarial by forklift;Entre 30-50;Grave;Mantenimiento
116;HS-THRN_5640;Turno de mañana;Hombre;25;Incidente;Incidente (no aplica);Campinas;Prensa;Brasil;2835.52;2046.18;1212.5;0.0;Yes;Transporte de material acabado;Mayor 50;Grave;Mantenimiento
117;HS-THRN_5641;Turno de tarde;Hombre;25;Accidente s/b;ETT;Campinas;Prensa;Brasil;2835.52;2046.18;1212.5;0.0;Yes;Pupitre de entrada decapado;Entre 30-50;Grave;Mantenimiento
118;HS-THRN_5642;Turno de tarde;Hombre;25;Incidente;Incidente (no aplica);Campinas;Prensa;Brasil;2835.52;2046.18;1212.5;0.0;Yes;Handling material;Mayor 50;Muy grave;Mantenimiento
119;HS-THRN_5643;Turno de mañana;Hombre;25;Incidente;Incidente (no aplica);Campinas;Prensa;Brasil;2835.52;2046.18;1212.5;0.0;Yes;Descargador;Mayor 50;Muy grave;Mantenimiento
120;HS-THRN_5645;Turno de mañana;Hombre;25;Incidente;Incidente (no aplica);Campinas;Prensa;Brasil;2835.52;2046.18;1212.5;0.0;Yes;Carreteillero;Mayor 50;Leve;Mantenimiento
121;HS-THRN_5646;Turno de mañana;Hombre;25;Incidente;Incidente (no aplica);Campinas;Prensa;Brasil;2835.52;2046.18;1212.5;0.0;Yes;Carga y descarga vagones;Entre 30-50;Grave;Mantenimiento
122;HS-CEPA_5647;Turno de mañana;Hombre;19;Accidente s/b;Subcontratado;Burgos;Recocido;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Operador de Produção II;Mayor 50;Leve;Mantenimiento
